epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2153.27,1.18354,2.63336,1.60252,0.70808,0.4056,0.42194,0.25622,1.22065,2.39284,1.86928,0.000473596,0.000473596,0.000473596
2,4145.97,1.15799,1.8121,1.59097,0.77043,0.39099,0.44212,0.26984,1.3323,2.3142,1.72684,0.000855886,0.000855886,0.000855886
3,5267.94,1.12329,1.44999,1.57166,0.47172,0.48078,0.48402,0.30203,1.20208,1.54527,1.60066,0.00114386,0.00114386,0.00114386
4,6385.08,1.106,1.22597,1.54905,0.54917,0.50851,0.5111,0.35626,1.13498,1.35567,1.49461,0.00100459,0.00100459,0.00100459
5,9939.8,1.06062,1.10431,1.51312,0.60333,0.54503,0.58601,0.40195,1.01956,1.05641,1.37824,0.000863116,0.000863116,0.000863116
6,14011,1.03587,1.01484,1.48189,0.60343,0.59485,0.617,0.41981,1.10863,1.0666,1.46381,0.000721645,0.000721645,0.000721645
7,15128.1,1.00782,0.95769,1.45616,0.51109,0.66156,0.59656,0.41515,0.98203,0.9418,1.34227,0.000580174,0.000580174,0.000580174
8,16242.4,0.97789,0.90481,1.44402,0.67466,0.59909,0.62779,0.4374,0.98573,0.89751,1.31304,0.000438703,0.000438703,0.000438703
9,17350.1,0.95118,0.8617,1.41376,0.6384,0.6211,0.6301,0.44632,0.93869,0.86662,1.27978,0.000297232,0.000297232,0.000297232
10,18446.5,0.94172,0.83708,1.3887,0.68745,0.66154,0.70744,0.49721,0.95048,0.79425,1.29393,0.000155761,0.000155761,0.000155761
